,team_id,team_name
0,288898,Natus Vincere
1,288894,PARIVISION
2,288896,Team Vitality
3,288890,PARIVISION
4,288892,Aurora Gaming
5,288486,Team Spirit
6,288476,Team Vitality
7,288470,Team Falcons
8,288460,Aurora Gaming
9,288482,Team Spirit
10,288484,The Mongolz
11,288468,FURIA Esports
12,288466,Team Falcons
13,288472,Team Vitality
14,288474,Team Spirit
15,288478,9z Team
16,288480,Team Liquid
17,288458,FURIA Esports
18,288456,Natus Vincere
19,288462,TYLOO
20,288464,B8 Esports
21,288448,Team Vitality
22,288450,The Mongolz
23,288452,Team Spirit
24,288454,Ninjas in Pyjamas
25,288440,FURIA Esports
26,288442,Aurora Gaming
27,288444,Natus Vincere
28,288446,NRG Esports
29,288328,Aurora Gaming
30,288330,Astralis
31,288324,Astralis
32,288326,Natus Vincere
33,288316,Astralis
34,288322,MOUZ
35,288318,Legacy
36,288320,The Mongolz
37,288208,FURIA Esports
38,288206,G2 Esports
39,288204,Natus Vincere
40,288166,G2 Esports
41,288172,FURIA Esports
42,288170,Astralis
43,288164,Natus Vincere
44,288162,The Mongolz
45,288168,FUT Esports
46,288080,Team Spirit
47,288092,FURIA Esports
48,288078,MOUZ
49,288088,Legacy
50,288084,Natus Vincere
51,288086,FUT Esports
52,288082,paiN Gaming
53,288090,FaZe Clan
54,288054,Team Spirit
55,288056,FURIA Esports
56,288052,FUT Esports
57,288050,MOUZ
58,288048,Legacy
59,288046,Natus Vincere
60,288042,The Mongolz
61,288044,FaZe Clan
62,287798,FURIA Esports
63,287802,MOUZ
64,287806,The Mongolz
65,287812,G2 Esports
66,287800,Team Spirit
67,287808,Aurora Gaming
68,287804,Natus Vincere
69,287810,FUT Esports
70,287748,Team 3DMAX
71,287746,G2 Esports
72,287744,PARIVISION
73,287652,Team Liquid
74,287646,G2 Esports
75,287648,Heroic
76,287650,Ninjas in Pyjamas
77,287642,PARIVISION
78,287644,Team 3DMAX
79,287582,Ninjas in Pyjamas
80,287584,G2 Esports
81,287578,Team 3DMAX
82,287576,Team Liquid
83,287574,PARIVISION
84,287570,FUT Esports
85,287572,Heroic
86,287562,G2 Esports
87,287560,Team Liquid
88,287556,Passion UA
89,287558,Ninjas in Pyjamas
90,287552,PARIVISION
91,287554,Team 3DMAX
92,287550,NRG Esports
93,287548,Heroic
94,287470,Team Liquid
95,287472,Team 3DMAX
96,287466,FUT Esports
97,287474,Ninjas in Pyjamas
98,287464,G2 Esports
99,287468,Astralis
100,287462,PARIVISION
101,287476,Heroic
102,287446,FOKUS
103,287438,9INE
104,287426,BetBoom Team
105,287148,PARIVISION
106,287146,MOUZ
107,287144,Team Vitality
108,287142,PARIVISION
109,287136,The Mongolz
110,287134,Team Vitality
111,287138,MOUZ
112,287140,PARIVISION
113,287112,Natus Vincere
114,287108,FUT Esports
115,287106,Aurora Gaming
116,287078,FURIA Esports
117,287080,G2 Esports
118,287074,Natus Vincere
119,287076,B8 Esports
120,287072,FaZe Clan
121,287070,MOUZ
122,286996,FURIA Esports
123,286998,G2 Esports
124,286992,MOUZ
125,286994,Team 3DMAX
126,286988,The Mongolz
127,286990,FUT Esports
128,286984,Natus Vincere
129,286986,FaZe Clan
130,286976,Team Vitality
131,286978,B8 Esports
132,286972,FURIA Esports
133,286974,Aurora Gaming
134,286968,Team Falcons
135,286970,G2 Esports
136,286966,Team 3DMAX
137,286964,Natus Vincere
138,286356,FURIA Esports
139,286358,The Mongolz
140,286352,Team Vitality
141,286354,Team Falcons
142,286350,FaZe Clan
143,286348,MOUZ
144,286344,Natus Vincere
145,286346,Aurora Gaming
146,286664,BetBoom Team
147,286660,BetBoom Team
148,286674,Inner Circle
149,286680,ENCE
150,286678,Alliance
151,286676,K27
152,286670,OG
153,286656,Fnatic
154,286646,BetBoom Team
155,286640,Team Nemesis
156,286642,Inner Circle
157,286638,Fnatic
158,286644,BET-M 33
159,286630,BetBoom Team
160,286634,Alliance
161,286636,Nuclear TigeRES
162,286632,ENCE
163,286294,FURIA Esports
164,286296,Team Spirit
165,286292,Team Vitality
166,286290,Team Spirit
167,286288,G2 Esports
168,286286,Aurora Gaming
169,286028,MOUZ
170,286030,Team Vitality
171,286008,G2 Esports
172,286010,FURIA Esports
173,286024,MOUZ
174,286026,Team 3DMAX
175,286014,FUT Esports
176,286012,Natus Vincere
177,286020,BCGame
178,286022,NRG Esports
179,286016,Team Vitality
180,286018,MOUZ
181,286006,Natus Vincere
182,286004,PARIVISION
183,286002,FURIA Esports
184,286000,FUT Esports
185,284614,Aurora Gaming
186,284612,MOUZ
187,284608,Team Vitality
188,284610,Team 3DMAX
189,284606,Astralis
190,284600,FURIA Esports
191,284604,Natus Vincere
192,284602,G2 Esports
193,285752,Aurora Gaming
194,285748,BCGame
195,285738,Astralis
196,285730,GamerLegion
197,285742,Legacy
198,285734,Team Liquid
199,285736,BCGame
200,285740,Ninjas in Pyjamas
201,285728,Aurora Gaming
202,285744,paiN Gaming
203,284566,Passion UA
204,284564,Team Liquid
205,284570,FUT Esports
206,284568,Legacy
207,284574,NRG Esports
208,284572,Astralis
209,284560,Aurora Gaming
210,284562,Heroic
211,284214,Team Falcons
212,285258,PARIVISION
213,285256,Team Vitality
214,284742,Team Spirit
215,284740,Team Vitality
216,284736,FURIA Esports
217,284738,Team Falcons
218,284822,BetBoom Team
219,284818,HOTU
220,284814,9INE
221,284816,Ursa
222,284812,Gentle Mates
223,284810,EYEBALLERS
224,284798,9INE
225,284800,BetBoom Team
226,284802,EYEBALLERS
227,284804,KOLESIE
228,284806,Gentle Mates
229,284808,BIG Academy
230,284788,Team Nemesis
231,284786,GenOne
232,284796,EYEBALLERS
233,284790,BIG Academy
234,284792,HOTU
235,284794,BetBoom Team
236,284782,FUT Esports
237,284784,Sangal Esports
238,284778,EYEBALLERS
239,284776,KOLESIE
240,284774,BetBoom Team
241,284780,Ursa
242,284766,FUT Esports
243,284768,9INE
244,284770,HOTU
245,284772,Nuclear TigeRES
246,284272,FURIA Esports
247,284270,EYEBALLERS
248,284268,Inner Circle
249,284266,PARIVISION
250,284264,Monte
251,284262,GamerLegion
252,284260,Gentle Mates
253,284258,paiN Gaming
254,283610,FURIA Esports
255,283630,paiN Gaming
256,283618,Team Spirit
257,283634,PARIVISION
258,283612,Team Falcons
259,283620,Team Liquid
260,283628,Team 3DMAX
261,283636,Gentle Mates
262,283614,Team Vitality
263,283622,Natus Vincere
264,283626,Heroic
265,283638,GamerLegion
266,283616,Aurora Gaming
267,283624,Astralis
268,283632,FaZe Clan
269,283640,FUT Esports
270,284586,Virtus.pro
271,281078,Team Vitality
272,282882,Natus Vincere
273,282880,Team Spirit
274,282876,FURIA Esports
275,282878,MOUZ
276,282874,Team Vitality
277,282872,Team Spirit
278,282812,G2 Esports
279,282810,FaZe Clan
280,282808,B8 Esports
281,282778,G2 Esports
282,282780,Team 3DMAX
283,282776,Passion UA
284,282774,MOUZ
285,282770,Natus Vincere
286,282772,B8 Esports
287,282764,FURIA Esports
288,282766,Team 3DMAX
289,282760,MOUZ
290,282762,Passion UA
291,282678,PARIVISION
292,282676,FURIA Esports
293,282674,Team Liquid
294,282672,MOUZ
295,282668,FaZe Clan
296,282670,Passion UA
297,282666,Team 3DMAX
298,282664,paiN Gaming
299,282662,FURIA Esports
300,282660,B8 Esports
301,282658,Team Vitality
302,282654,Passion UA
303,282652,Team Spirit
304,282650,Imperial Esports
305,282648,MOUZ
306,282474,Ninjas in Pyjamas
307,282472,Team Liquid
308,282470,Passion UA
309,282462,B8 Esports
310,282468,Team Liquid
311,282460,Imperial Esports
312,282466,Aurora Gaming
313,282458,PARIVISION
314,282464,Fnatic
315,282446,Natus Vincere
316,282444,MIBR
317,282448,FlyQuest
318,282442,FaZe Clan
319,282440,Fnatic
320,282438,PARIVISION
321,282436,TYLOO
322,282434,Passion UA
323,282420,Team Liquid
324,282416,B8 Esports
325,282422,MIBR
326,282410,Aurora Gaming
327,282424,Astralis
328,282412,Natus Vincere
329,282418,Team 3DMAX
330,282414,TYLOO
331,282234,MIBR
332,282226,Team Liquid
333,282224,Natus Vincere
334,282222,Aurora Gaming
335,282236,Passion UA
336,282232,TYLOO
337,282180,PARIVISION
338,282178,NRG Esports
339,282176,Fluxo
340,282160,PARIVISION
341,282156,Imperial Esports
342,282152,NRG Esports
343,282158,RED Canids
344,282150,Fluxo
345,282154,B8 Esports
346,282146,The Huns Esports
347,282148,M80
348,282144,FlyQuest
349,282142,GamerLegion
350,282138,Fnatic
