,tournament
0,BLAST Open Spring 2026
1,ESL Pro League Season 23
2,PGL Bucharest 2026. European Qualifier
3,PGL Cluj-Napoca 2026
4,IEM Atlanta 2026. Closed Qualifier
5,IEM Krakow 2026
6,BLAST Bounty Winter 2026
7,IEM Rio 2026. Closed Qualifier
8,BLAST Bounty Winter 2026. Closed Qualifiers
9,IEM Rio 2026. Open Qualifier
10,StarLadder Budapest Major 2025
11,BLAST Rivals Fall 2025
12,IEM Chengdu 2025
13,PGL Masters Bucharest 2025
14,CS2 Asia Championships 2025
15,Thunderpick World Championship 2025
16,ESL Pro League Season 22
17,FISSURE PLAYGROUND 2 — CS
18,StarLadder StarSeries Fall 2025
19,Thunderpick World Championship 2025. Closed Qualifier
20,BLAST Open London 2025
21,BLAST Open London 2025. Closed Qualifiers
22,Esports World Cup 2025 по CS2
23,BLAST Bounty Fall 2025
24,StarLadder StarSeries Fall 2025. Closed Qualifier
25,BLAST Bounty Fall 2025. Closed Qualifiers
26,IEM Cologne 2025
27,FISSURE PLAYGROUND 1 — CS
28,ESL Pro League Season 22. European Qualifier
29,BLAST.tv Austin Major 2025
30,IEM Dallas 2025
31,PGL Astana 2025
32,Asian Champions League 2025
33,BLAST Rivals Spring 2025
34,IEM Melbourne 2025
35,BLAST.tv Austin Major 2025. Closed Qualifier
36,PGL Bucharest 2025
37,PGL Astana 2025. Closed European Qualifier
38,BLAST Open Lisbon 2025
39,PGL Astana 2025. Open Qualifier
40,ESL Pro League Season 21
41,PGL Bucharest 2025. European Qualifiers
42,PGL Cluj-Napoca 2025
43,IEM Dallas 2025: Qualifier Europe
44,IEM Katowice 2025
45,BLAST Rising Europe Spring 2025
46,BLAST Rising Europe Spring 2025. Closed Qualifier
47,BLAST Bounty Spring 2025
48,BLAST Bounty Spring 2025. Closed Qualifiers
49,Perfect World Shanghai Major 2024
50,Perfect World Shanghai Major 2024: European RMR B
51,Perfect World Shanghai Major 2024: European RMR A
52,Perfect World Shanghai Major 2024: American RMR
53,Perfect World Shanghai Major 2024: Asia-Pacific RMR
54,BLAST Premier: World Final 2024
55,Thunderpick World Championship 2024
56,IEM Rio 2024
57,BLAST Premier: Fall Final 2024
58,ESL Pro League Season 20
59,Thunderpick World Championship 2024 - Qualifiers Europe #2
60,IEM Rio 2024: Qualifier СА
61,BetBoom Dacha Belgrade 2024 #2
62,Perfect World Shanghai Major 2024: Asia‍-‍Pacific Qualifier
63,IEM Rio 2024: Qualifier Europe
64,Perfect World Shanghai Major 2024: American Qualifier
65,BLAST Premier: Fall Showdown 2024
66,Perfect World Shanghai Major 2024: EU Qualifier
67,IEM Cologne 2024
68,BetBoom Dacha Belgrade 2024 #2. European Qualifier
69,BLAST Premier: Fall Groups 2024
70,BetBoom Dacha Belgrade 2024 #2. Qualifier ЮА
71,IEM Rio 2024: Qualifier Asia
72,IEM Rio 2024: Qualifier ЮА
73,Esports World Cup 2024 по CS2
74,FiReLEAGUE Global Finals 2024
75,BLAST Premier: Spring Final 2024
76,ESL Challenger Jonköping 2024
77,ESL Pro League Season 20: European Conference
78,Thunderpick World Championship 2024 - Qualifiers СА #2
79,IEM Dallas 2024
80,MESA Nomadic Masters Spring 2024
81,Thunderpick World Championship 2024 - Qualifiers СА #1
82,CCT Global Finals
83,BetBoom Dacha CS2 Belgrade 2024
84,ESL Pro League Season 19
85,Thunderpick World Championship 2024 - Qualifiers Europe #1
86,Global Esports Tour Rio de Janeiro 2024
87,Esports World Cup 2024 по CS2. Closed Qualifier
88,Esports World Cup 2024 по CS2. Open Qualifier
89,IEM Chengdu 2024
90,BetBoom Dacha CS2 Belgrade 2024: Qualifier Europe
91,BetBoom Dacha CS2 Belgrade 2024: Qualifier ЮА
92,ESL Challenger Jonköping 2024. Closed Qualifier
93,PGL Major Copenhagen 2024
94,ESL Challenger Jonköping 2024. Open Qualifier
95,IEM Dallas 2024: Qualifier Europe
96,BLAST Premier: Spring Showdown 2024
97,PGL CS2 Major Copenhagen 2024: American RMR
98,PGL CS2 Major Copenhagen 2024: Asia-Pacific RMR
99,IEM Dallas 2024: Qualifier ЮА
100,PGL CS2 Major Copenhagen 2024: European RMR Decider
101,PGL CS2 Major Copenhagen 2024: European RMR B
102,PGL CS2 Major Copenhagen 2024: European RMR A
103,IEM Katowice 2024
104,IEM Chengdu 2024. Open Qualifier
105,PGL CS2 Major Copenhagen 2024: Closed Qualifiers
106,BLAST Premier: Spring Groups 2024
107,PGL CS2 Major Copenhagen 2024: Open Qualifiers
108,ESL Challenger Atlanta 2023
109,BLAST Premier: World Final 2023
110,BetBoom Dacha
111,Elisa Masters Espoo 2023
112,BLAST Premier: Fall Final 2023
113,BetBoom Dacha. Closed Qualifier
114,ESL Challenger Atlanta 2023. Qualifiers
115,CS2 Asia Championships 2023
116,IEM Chengdu 2024. Closed Qualifier
117,Thunderpick World Championship 2023
